date,close
2025-05-16,0.7529
2025-05-15,0.7516
2025-05-14,0.7540
2025-05-13,0.7516
2025-05-12,0.7590
2025-05-09,0.7516
2025-05-08,0.7549
2025-05-07,0.7523
2025-05-06,0.7480
2025-05-05,0.7520
2025-05-02,0.7537
2025-05-01,0.7531
2025-04-30,0.7501
2025-04-29,0.7458
2025-04-28,0.7439
2025-04-25,0.7512
2025-04-24,0.7496
2025-04-23,0.7544
2025-04-22,0.7501
2025-04-21,0.7473
2025-04-18,0.7521
2025-04-17,0.7538
2025-04-16,0.7553
2025-04-15,0.7558
2025-04-14,0.7581
2025-04-11,0.7642
2025-04-10,0.7710
2025-04-09,0.7799
2025-04-08,0.7834
2025-04-07,0.7861
2025-04-04,0.7755
2025-04-03,0.7633
2025-04-02,0.7688
2025-04-01,0.7739
2025-03-31,0.7742
2025-03-28,0.7727
2025-03-27,0.7723
2025-03-26,0.7759
2025-03-25,0.7724
2025-03-24,0.7738
2025-03-21,0.7742
2025-03-20,0.7712
2025-03-19,0.7692
2025-03-18,0.7692
2025-03-17,0.7698
2025-03-14,0.7731
2025-03-13,0.7722
2025-03-12,0.7714
2025-03-11,0.7723
2025-03-10,0.7765
2025-03-07,0.7739
2025-03-06,0.7763
2025-03-05,0.7755
2025-03-04,0.7816
2025-03-03,0.7873
2025-02-28,0.7951
2025-02-27,0.7936
2025-02-26,0.7889
2025-02-25,0.7896
2025-02-24,0.7920
2025-02-21,0.7915
2025-02-20,0.7893
2025-02-19,0.7945
2025-02-18,0.7928
2025-02-17,0.7920
2025-02-14,0.7945
2025-02-13,0.7958
2025-02-12,0.8036
2025-02-11,0.8034
2025-02-10,0.8085
2025-02-07,0.8063
2025-02-06,0.8042
2025-02-05,0.7996
2025-02-04,0.8012
2025-02-03,0.8033
2025-01-31,0.8069
2025-01-30,0.8054
2025-01-29,0.8033
2025-01-28,0.8036
2025-01-27,0.8000
2025-01-24,0.8011
2025-01-23,0.8095
2025-01-22,0.8121
2025-01-21,0.8094
2025-01-20,0.8111
2025-01-17,0.8219
2025-01-16,0.8171
2025-01-15,0.8168
2025-01-14,0.8185
2025-01-13,0.8194
2025-01-10,0.8190
2025-01-09,0.8126
2025-01-08,0.8089
2025-01-07,0.8014
2025-01-06,0.7986
2025-01-03,0.8048
2025-01-02,0.8076
2025-01-01,0.7989
2024-12-31,0.7991
2024-12-30,0.7967
2024-12-27,0.7951
2024-12-26,0.7982
2024-12-25,0.7964
2024-12-24,0.7973
2024-12-23,0.7978
2024-12-20,0.7955
2024-12-19,0.7998
2024-12-18,0.7953
2024-12-17,0.7867
2024-12-16,0.7883
2024-12-13,0.7928
2024-12-12,0.7891
2024-12-11,0.7842
2024-12-10,0.7831
2024-12-09,0.7843
2024-12-06,0.7869
2024-12-05,0.7837
2024-12-04,0.7873
2024-12-03,0.7891
2024-12-02,0.7901
2024-11-29,0.7853
2024-11-28,0.7882
2024-11-27,0.7887
2024-11-26,0.7956
2024-11-25,0.7956
2024-11-22,0.7981
2024-11-21,0.7943
2024-11-20,0.7904
2024-11-19,0.7884
2024-11-18,0.7888
2024-11-15,0.7925
2024-11-14,0.7895
2024-11-13,0.7869
2024-11-12,0.7845
2024-11-11,0.7771
2024-11-08,0.7739
2024-11-07,0.7700
2024-11-06,0.7765
2024-11-05,0.7667
2024-11-04,0.7717
2024-11-01,0.7728
2024-10-31,0.7753
2024-10-30,0.7715
2024-10-29,0.7683
2024-10-28,0.7708
2024-10-25,0.7714
2024-10-24,0.7706
2024-10-23,0.7738
2024-10-22,0.7701
2024-10-21,0.7701
2024-10-18,0.7662
2024-10-17,0.7685
2024-10-16,0.7698
2024-10-15,0.7649
2024-10-14,0.7658
2024-10-11,0.7653
2024-10-10,0.7657
2024-10-09,0.7651
2024-10-08,0.7631
2024-10-07,0.7644
2024-10-04,0.7621
2024-10-03,0.7619
2024-10-02,0.7538
2024-10-01,0.7527
2024-09-30,0.7477
2024-09-27,0.7474
2024-09-26,0.7454
2024-09-25,0.7506
2024-09-24,0.7456
2024-09-23,0.7492
2024-09-20,0.7505
2024-09-19,0.7528
2024-09-18,0.7569
2024-09-17,0.7599
2024-09-16,0.7567
2024-09-13,0.7620
2024-09-12,0.7620
2024-09-11,0.7668
2024-09-10,0.7644
2024-09-09,0.7649
2024-09-06,0.7618
2024-09-05,0.7587
2024-09-04,0.7607
2024-09-03,0.7624
2024-09-02,0.7607
2024-08-30,0.7618
2024-08-29,0.7594
2024-08-28,0.7582
2024-08-27,0.7541
2024-08-26,0.7583
2024-08-23,0.7566
2024-08-22,0.7638
2024-08-21,0.7642
2024-08-20,0.7671
2024-08-19,0.7698
2024-08-16,0.7723
2024-08-15,0.7780
2024-08-14,0.7796
2024-08-13,0.7774
2024-08-12,0.7833
2024-08-09,0.7836
2024-08-08,0.7844
2024-08-07,0.7878
2024-08-06,0.7880
2024-08-05,0.7827
2024-08-02,0.7812
2024-08-01,0.7850
2024-07-31,0.7779
2024-07-30,0.7791
2024-07-29,0.7775
2024-07-26,0.7772
2024-07-25,0.7781
2024-07-24,0.7748
2024-07-23,0.7748
2024-07-22,0.7732
2024-07-19,0.7743
2024-07-18,0.7725
2024-07-17,0.7687
2024-07-16,0.7707
2024-07-15,0.7711
2024-07-12,0.7699
2024-07-11,0.7743
2024-07-10,0.7783
2024-07-09,0.7820
2024-07-08,0.7810
2024-07-05,0.7804
2024-07-04,0.7838
2024-07-03,0.7848
2024-07-02,0.7883
2024-07-01,0.7906
2024-06-28,0.7907
2024-06-27,0.7912
2024-06-26,0.7920
2024-06-25,0.7883
2024-06-24,0.7883
2024-06-21,0.7907
2024-06-20,0.7900
2024-06-19,0.7862
2024-06-18,0.7868
2024-06-17,0.7872
2024-06-14,0.7882
2024-06-13,0.7835
2024-06-12,0.7814
2024-06-11,0.7849
2024-06-10,0.7854
2024-06-07,0.7856
2024-06-06,0.7818
2024-06-05,0.7820
2024-06-04,0.7831
2024-06-03,0.7807
2024-05-31,0.7849
2024-05-30,0.7853
2024-05-29,0.7874
2024-05-28,0.7835
2024-05-27,0.7832
2024-05-24,0.7852
2024-05-23,0.7875
2024-05-22,0.7864
2024-05-21,0.7868
2024-05-20,0.7870
2024-05-17,0.7873
2024-05-16,0.7892
2024-05-15,0.7883
2024-05-14,0.7942
2024-05-13,0.7963
2024-05-10,0.7984
2024-05-09,0.7985
2024-05-08,0.8002
2024-05-07,0.7994
2024-05-06,0.7961
2024-05-03,0.7970
2024-05-02,0.7978
2024-05-01,0.7982
2024-04-30,0.8005
2024-04-29,0.7960
2024-04-26,0.8003
2024-04-25,0.7990
2024-04-24,0.8022
2024-04-23,0.8032
2024-04-22,0.8098
2024-04-19,0.8083
2024-04-18,0.8042
