Date, Open, High, Low, Close, Volume
10/29/21, 564000, 564000, 562200, 562200, 313
10/28/21, 574520, 580250, 574520, 577520, 88
10/27/21, 560000, 560000, 560000, 560000, 30
10/26/21, 567000, 567000, 567000, 567000, 100
10/25/21, 562100, 562100, 562100, 562100, 13
10/21/21, 556770, 556770, 556770, 556770, 1
10/19/21, 553000, 556770, 553000, 556770, 199
10/15/21, 545610, 545610, 545610, 545610, 20
10/13/21, 522390, 523110, 522390, 523110, 219
10/12/21, 531870, 531870, 528500, 529820, 239
10/07/21, 536920, 536920, 536920, 536920, 6
10/06/21, 531210, 536920, 531210, 536920, 607
10/05/21, 531870, 531870, 531870, 531870, 60
10/01/21, 529000, 529000, 529000, 529000, 46
09/29/21, 550000, 550000, 550000, 550000, 30
09/28/21, 553580, 553580, 545500, 545500, 260
09/27/21, 555000, 555000, 554220, 554220, 220
09/24/21, 563600, 564580, 563600, 564580, 72
09/22/21, 559140, 559140, 559140, 559140, 4
09/17/21, 559050, 559050, 559050, 559050, 150
09/14/21, 574980, 574980, 572000, 572000, 184
07/01/20, 340500, 340500, 340500, 340500, 1100
06/24/20, 333250, 333250, 333250, 333250, 800
06/23/20, 340000, 340000, 340000, 340000, 1600
10/26/18, 173025, 173025, 173025, 173025, 296
09/20/18, 166675, 166675, 166675, 166675, 296
08/10/18, 151250, 151250, 151250, 151250, 12720
08/08/18, 149500, 149500, 149500, 149500, 12640
08/03/18, 150000, 150000, 150000, 150000, 12640
05/29/18, 135750, 135750, 135750, 135750, 120
05/25/18, 135750, 135750, 135750, 135750, 1052
03/13/18, 130750, 130750, 130750, 130750, 380
03/02/18, 125875, 125875, 125875, 125875, 792
02/16/18, 121750, 121750, 121750, 121750, 136
02/06/18, 112625, 112625, 112625, 112625, 68
10/19/17, 114875, 114875, 114875, 114875, 400
06/15/17, 103750, 103750, 103750, 103750, 308
03/01/17, 100000, 100000, 100000, 100000, 4000
08/25/16, 77750, 77750, 77750, 77750, 9056
07/15/16, 72900, 72900, 72900, 72900, 4884
07/14/16, 72400, 72400, 72400, 72400, 432
05/06/16, 68750, 68750, 68750, 68750, 8200
05/05/16, 69050, 69050, 69050, 69050, 4000
02/19/16, 80375, 80375, 80375, 80375, 2536
01/29/16, 80000, 80000, 80000, 80000, 308
01/08/16, 80625, 80625, 80625, 80625, 2000
11/05/15, 87000, 87000, 86500, 86500, 5316
09/16/15, 86125, 86125, 86125, 86125, 3672
08/27/15, 90750, 90750, 90750, 90750, 520
07/06/15, 83500, 83500, 83500, 83500, 14140
05/15/15, 77290, 77290, 77290, 77290, 4844
03/10/15, 81080, 81080, 81080, 81080, 96
03/02/15, 81755, 81755, 81755, 81755, 560
11/12/14, 58745, 58745, 58745, 58745, 2800
09/16/14, 49420, 49420, 49420, 49420, 776
09/10/14, 49990, 49990, 49990, 49990, 6000
08/01/14, 45325, 45325, 45325, 45325, 4000
06/20/14, 43315, 43315, 43315, 43315, 96
04/28/14, 40835, 40835, 40835, 40835, 560.00056000056
03/13/14, 39107, 39107, 39107, 39107, 364.000364000364
12/23/11, 27571, 27571, 27571, 27571, 2800.0028000028
11/18/11, 26071, 26071, 26071, 26071, 2800.0028000028
10/18/11, 28914, 28914, 28914, 28914, 2800.0028000028
09/19/11, 27036, 27036, 27036, 27036, 5600.0056000056
09/02/11, 24368, 24368, 24368, 24368, 5600.0056000056
08/26/11, 24500, 24500, 24500, 24500, 5600.0056000056
